mask_ratio,contiguous,hidden_dim,num_layers,gnn_type,ema_decay,add_3d,pretrain_bs,finetune_bs,pretrain_epochs,finetune_epochs,lr,cluster_silhouette_mean,cluster_silhouette_std,cluster_silhouette_ci95,pr_auc_mean,pr_auc_std,pr_auc_ci95,probe_acc_mean,probe_acc_std,probe_acc_ci95,probe_pr_auc_mean,probe_pr_auc_std,probe_pr_auc_ci95,probe_roc_auc_mean,probe_roc_auc_std,probe_roc_auc_ci95,roc_auc_mean,roc_auc_std,roc_auc_ci95,method,seeds,best_metric,cap_time_mins,cap_pretrain_batches,cap_finetune_batches
0.1,False,64,2,mpnn,0.95,False,8,4,2,2,0.001,0.3002031296491623,0.021411294466534597,0.029674540162086482,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,,,,0.5,0.0,0.0,jepa,2,,0,0,0
0.1,False,64,2,mpnn,0.95,True,8,4,2,2,0.001,0.09502505883574486,0.01131828855486559,0.01568634763360023,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,0.75,0.3535533905932738,0.49,,,,0.5,0.0,0.0,jepa,2,,0,0,0
0.1,False,64,2,mpnn,0.99,False,8,4,2,2,0.001,0.3124386966228485,0.031060499331739953,0.04304765582084655,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,,,,0.5,0.0,0.0,jepa,2,,0,0,0
0.1,False,64,2,mpnn,0.99,True,8,4,2,2,0.001,0.13292796164751053,0.004212040136345345,0.005837589800357819,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,,,,0.5,0.0,0.0,jepa,2,,0,0,0
0.1,False,64,2,gcn,0.95,False,8,4,2,2,0.001,0.3767329752445221,0.05554663820481108,0.07698371291160581,0.6666666666666666,0.0,0.0,0.75,0.3535533905932738,0.49,1.0,0.0,0.0,,,,0.5,0.0,0.0,jepa,2,,0,0,0
0.1,False,64,2,gcn,0.95,True,8,4,2,2,0.001,0.12244055792689323,0.0333973998360553,0.046286434680223455,0.6666666666666666,0.0,0.0,0.75,0.3535533905932738,0.49,1.0,0.0,0.0,,,,0.5,0.0,0.0,jepa,2,,0,0,0
0.1,False,64,2,gcn,0.99,False,8,4,2,2,0.001,0.328556552529335,0.014355785585265405,0.019896103739738463,0.6666666666666666,0.0,0.0,0.75,0.3535533905932738,0.49,1.0,0.0,0.0,,,,0.5,0.0,0.0,jepa,2,,0,0,0
0.1,False,64,2,gcn,0.99,True,8,4,2,2,0.001,0.12292971462011337,0.015426368221002752,0.02137985557317734,0.6666666666666666,0.0,0.0,0.75,0.3535533905932738,0.49,1.0,0.0,0.0,,,,0.5,0.0,0.0,jepa,2,,0,0,0
0.1,True,64,2,mpnn,0.95,False,8,4,2,2,0.001,0.34675753116607666,6.14079582803726e-05,8.510708808898925e-05,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,0.5,0.0,0.0,jepa,2,,0,0,0
0.1,True,64,2,mpnn,0.95,True,8,4,2,2,0.001,0.10592544078826904,0.03990625882378214,0.05530725300312042,0.6666666666666666,0.0,0.0,0.75,0.3535533905932738,0.49,1.0,0.0,0.0,,,,0.5,0.0,0.0,jepa,2,,0,0,0
